expMode,trialNumber,midFile,rating,RT1 (manual),RT2 (ratingScale),subjectNumber,date,globalClock
practice, 1, ./practice/d_p_2.mid, Yes, 22.92105234099995, 22.909, 16, 2021_May_12_1106, 825.3176743319999
practice, 2, ./practice/d_p_1.mid, No, 17.06183165399989, 17.047, 16, 2021_May_12_1106, 879.2767342400001
practice, 3, ./practice/d_t_2.mid, No, 5.976884678000033, 5.96, 16, 2021_May_12_1106, 921.8023239309999
practice, 4, ./practice/d_t_1.mid, No, 6.057844957000043, 6.045, 16, 2021_May_12_1106, 962.6500042480001
experiment, 1, ./mid/d_p_14.mid, No, 6.142423948999976, 6.127, 16, 2021_May_12_1106, 1019.5082016560001
experiment, 2, ./mid/d_p_5.mid, Yes, 6.003578018000098, 5.991, 16, 2021_May_12_1106, 1058.8495453669998
experiment, 3, ./mid/d_p_12.mid, No, 4.660646703000111, 4.649, 16, 2021_May_12_1106, 1096.282691241
experiment, 4, ./mid/d_p_15.mid, No, 6.096336766999912, 6.08, 16, 2021_May_12_1106, 1135.684964054
experiment, 5, ./mid/d_p_17.mid, Yes, 11.372247024999979, 11.358, 16, 2021_May_12_1106, 1180.932014203
experiment, 6, ./mid/d_p_18.mid, Yes, 3.809173967000106, 3.796, 16, 2021_May_12_1106, 1218.15764605
experiment, 7, ./mid/d_t_11.mid, Yes, 2.396580431999837, 2.38, 16, 2021_May_12_1106, 1253.7515335029998
experiment, 8, ./mid/d_p_13.mid, No, 2.571117227000059, 2.558, 16, 2021_May_12_1106, 1289.9316888399999
experiment, 9, ./mid/d_t_15.mid, No, 2.008995901999924, 1.994, 16, 2021_May_12_1106, 1324.3236442389998
experiment, 10, ./mid/d_p_6.mid, Yes, 2.7150584650000837, 2.702, 16, 2021_May_12_1106, 1359.297769022
experiment, 11, ./mid/d_t_13.mid, Yes, 2.371894844000053, 2.355, 16, 2021_May_12_1106, 1394.9493691490002
experiment, 12, ./mid/d_p_11.mid, No, 4.0671418780000295, 4.05, 16, 2021_May_12_1106, 1434.717061672
experiment, 13, ./mid/d_t_7.mid, No, 2.600151482000001, 2.584, 16, 2021_May_12_1106, 1469.3002024329999
experiment, 14, ./mid/d_t_8.mid, Yes, 3.3284509350000917, 3.315, 16, 2021_May_12_1106, 1504.6067159160002
experiment, 15, ./mid/d_t_18.mid, Yes, 2.5872631539998565, 2.575, 16, 2021_May_12_1106, 1540.4811232850002
experiment, 16, ./mid/d_t_17.mid, Yes, 2.6957777019999867, 2.682, 16, 2021_May_12_1106, 1574.856872983
experiment, 17, ./mid/d_p_4.mid, No, 2.294618774000128, 2.28, 16, 2021_May_12_1106, 1610.640335006
experiment, 18, ./mid/d_p_16.mid, Yes, 2.2430134329999873, 2.231, 16, 2021_May_12_1106, 1647.2475130910002
experiment, 19, ./mid/d_p_1.mid, No, 3.1091804400000456, 3.095, 16, 2021_May_12_1106, 1681.847509486
experiment, 20, ./mid/d_t_2.mid, No, 7.173220859000139, 7.161, 16, 2021_May_12_1106, 1721.080715001
experiment, 21, ./mid/d_t_12.mid, Yes, 3.356498888000033, 3.344, 16, 2021_May_12_1106, 1757.680626677
experiment, 22, ./mid/d_p_8.mid, Yes, 5.449700369999846, 5.438, 16, 2021_May_12_1106, 1796.530644902
experiment, 23, ./mid/d_t_6.mid, No, 2.8407252299998618, 2.827, 16, 2021_May_12_1106, 1833.6803058660003
experiment, 24, ./mid/d_t_3.mid, No, 6.4603160839997145, 6.444, 16, 2021_May_12_1106, 1874.0161261400003
experiment, 25, ./mid/d_t_1.mid, Yes, 2.075397077999696, 2.062, 16, 2021_May_12_1106, 1907.2226929140002
experiment, 26, ./mid/d_t_14.mid, No, 3.109710764999818, 3.095, 16, 2021_May_12_1106, 1942.989806003
experiment, 27, ./mid/d_p_3.mid, Yes, 1.8611392589996285, 1.848, 16, 2021_May_12_1106, 1977.513943385
experiment, 28, ./mid/d_t_16.mid, No, 3.0536295909996625, 3.039, 16, 2021_May_12_1106, 2013.5134803710002
experiment, 29, ./mid/d_p_7.mid, Yes, 6.147882828000093, 6.135, 16, 2021_May_12_1106, 2051.4135446200003
experiment, 30, ./mid/d_p_10.mid, Yes, 1.9408999819997916, 1.927, 16, 2021_May_12_1106, 2088.396761553
experiment, 31, ./mid/d_t_5.mid, No, 2.6317877559999943, 2.617, 16, 2021_May_12_1106, 2126.080552895
experiment, 32, ./mid/d_p_2.mid, No, 1.0939240280004014, 1.079, 16, 2021_May_12_1106, 2161.096715899
experiment, 33, ./mid/d_p_9.mid, No, 3.0074984779998886, 2.994, 16, 2021_May_12_1106, 2196.063094249
experiment, 34, ./mid/d_t_9.mid, Yes, 1.4117328739998811, 1.398, 16, 2021_May_12_1106, 2227.930042935
experiment, 35, ./mid/d_t_4.mid, Yes, 1.3115197950000947, 1.298, 16, 2021_May_12_1106, 2261.905398311
experiment, 36, ./mid/d_t_10.mid, Yes, 3.711105218999819, 3.694, 16, 2021_May_12_1106, 2298.332036003
